3,BL_8,BL_9,BL_10,BL_12,BL_13,BL_14,BL_15
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_0,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_1,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
WL_2,2878.36187009274,2397.4345615964176,2593.261858904679,28063.792556448177,2972.713961475452,4685.780067065788,2663.45296009314
